Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
NYC,Jan,65.6,22.2,39.9,15.8,,0.54,,16.1,58.7,9.5,16.5,65.71
NYC,Feb,58.1,17.9,40.2,10.1,,1.09,,20.1,53.4,9.4,18.6,65.41
NYC,Mar,72,26.5,47.4,20.7,,0.6,,17.6,58.6,9.4,17.1,62.21
NYC,Apr,67.8,37.6,50.3,31.8,,1.59,,20.4,51.8,9.6,18.1,61.5
NYC,May,82.1,36.2,59.9,31.8,80.8,0.7,,20.9,55.3,9.6,15.9,61.49
NYC,Jun,87.5,53,73,,91.3,0.94,,12.8,58.8,9.8,10.1,65.07
NYC,Jul,93.2,67.4,80,,102.1,1.19,,14.5,57.5,9.8,14.5,70.24
NYC,Aug,91.1,66,77.9,,100.6,2.71,,16.1,50.6,9.8,12.2,70.43
NYC,Sep,87.9,52.9,70.7,,89.6,1.47,,15.5,44.7,9.8,10.7,65.46
