Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
Boston,Jan,70.6,13.5,37.1,10.2,,1.39,,34.4,46,9.4,10.4,56.9
Boston,Feb,61.4,11.5,36.8,1.4,,3.29,,17.2,52.9,8.8,10.5,57.75
Boston,Mar,72.5,21.1,42.8,17.2,,3.59,,24.2,47.5,9.1,10.4,57.33
Boston,Apr,62.1,33.3,45.9,33.6,,4.35,,21.9,58.7,9,10.8,59.53
Boston,May,83.8,37.4,58,34.5,84.2,2.22,,12.8,43.8,9.5,9,57.51
Boston,Jun,90,50.3,69.5,,90.5,2.77,,16.1,33.3,9.5,9.2,64.9
Boston,Jul,95.2,60.2,75.5,,101.7,2.06,,23,47.2,9.5,20.4,70.02
Boston,Aug,92.5,59.1,74.4,,96.8,2.27,,23,46,9.9,14.3,64.02
Boston,Sep,85.6,45,65.4,39,86.5,0.47,,23,31.1,9.7,15.1,62.62
