Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
Denver,Jan,60.2,10.3,34.9,0.4,,0.07,1.18,28,43.8,10.1,43,45.3
Denver,Feb,71.5,1.8,29.7,-12.4,,1.14,2.41,32.6,45,9,51.3,62.4
Denver,Mar,67.9,17.9,42.3,6.8,,1.35,3.31,34.4,45,9.6,51.5,57.16
Denver,Apr,80.1,13.3,46.9,2.3,78.3,0.61,1.36,24.2,34.4,9.6,50,49.88
Denver,May,90.2,33.8,59.2,27.1,86.2,1.06,,35.8,45,10.4,48.5,52.94
Denver,Jun,94.7,41,70.5,31.4,89.9,1.67,,40.3,50.8,10.4,43.8,37.36
Denver,Jul,96.5,54.7,74.5,,91.4,2.35,,26.4,48.3,10.1,42,44.23
Denver,Aug,97.4,42.8,75.7,39.2,92.3,0.2,,27.7,39.1,9.8,43.7,35.74
Denver,Sep,98.1,29.9,64.8,22,92.8,0.46,,24.2,35.8,9.3,36.5,40.7
